"business_id","day_of_week","opening_time_hours","closing_time_hours"
"J8T6Fu7RSczrflZ5rC6wvQ","Monday","360","330"
"J8T6Fu7RSczrflZ5rC6wvQ","Tuesday","360","330"
"J8T6Fu7RSczrflZ5rC6wvQ","Wednesday","360","330"
"J8T6Fu7RSczrflZ5rC6wvQ","Friday","360","330"
"J8T6Fu7RSczrflZ5rC6wvQ","Sunday","360","330"
"sbD4f8aOsXZ6PJYh1kN4Ag","Saturday","660","1260"
"sbD4f8aOsXZ6PJYh1kN4Ag","Thursday","660","1260"
"sbD4f8aOsXZ6PJYh1kN4Ag","Monday","660","1260"
"sbD4f8aOsXZ6PJYh1kN4Ag","Tuesday","660","1260"
"sbD4f8aOsXZ6PJYh1kN4Ag","Wednesday","660","1260"
"sbD4f8aOsXZ6PJYh1kN4Ag","Friday","660","1260"
"sbD4f8aOsXZ6PJYh1kN4Ag","Sunday","660","1080"
"nV_7lAYFVISEs-Te4e39gA","Saturday","600","1020"
"nV_7lAYFVISEs-Te4e39gA","Thursday","540","1050"
"nV_7lAYFVISEs-Te4e39gA","Monday","540","1050"
"nV_7lAYFVISEs-Te4e39gA","Tuesday","540","1050"
"nV_7lAYFVISEs-Te4e39gA","Wednesday","540","1050"
"nV_7lAYFVISEs-Te4e39gA","Friday","540","1050"
"HfWkdqxegjiGEXzI8j7Wwg","Saturday","0","0"
"HfWkdqxegjiGEXzI8j7Wwg","Thursday","0","0"
"HfWkdqxegjiGEXzI8j7Wwg","Monday","0","0"
"HfWkdqxegjiGEXzI8j7Wwg","Tuesday","0","0"
"HfWkdqxegjiGEXzI8j7Wwg","Wednesday","0","0"
"HfWkdqxegjiGEXzI8j7Wwg","Friday","0","0"
"HfWkdqxegjiGEXzI8j7Wwg","Sunday","0","0"
"2KAOVu8cloYC7xC6IGFGIQ","Saturday","540","840"
"2KAOVu8cloYC7xC6IGFGIQ","Thursday","480","1080"
"2KAOVu8cloYC7xC6IGFGIQ","Monday","480","1080"
"2KAOVu8cloYC7xC6IGFGIQ","Tuesday","480","1080"
"2KAOVu8cloYC7xC6IGFGIQ","Wednesday","480","1080"
"2KAOVu8cloYC7xC6IGFGIQ","Friday","480","1080"
"h3suimHlSVRu9V_AJxbbGw","Saturday","570","1260"
"h3suimHlSVRu9V_AJxbbGw","Thursday","570","1260"
"h3suimHlSVRu9V_AJxbbGw","Monday","570","1260"
"h3suimHlSVRu9V_AJxbbGw","Tuesday","570","1260"
"h3suimHlSVRu9V_AJxbbGw","Wednesday","570","1260"
"h3suimHlSVRu9V_AJxbbGw","Friday","570","1260"
"h3suimHlSVRu9V_AJxbbGw","Sunday","600","1140"
"-tNGtyL1Tx20Od4npKkdcg","Saturday","600","1080"
"-tNGtyL1Tx20Od4npKkdcg","Thursday","600","1080"
"-tNGtyL1Tx20Od4npKkdcg","Monday","600","1080"
"-tNGtyL1Tx20Od4npKkdcg","Tuesday","600","1080"
"-tNGtyL1Tx20Od4npKkdcg","Wednesday","600","1080"
"-tNGtyL1Tx20Od4npKkdcg","Friday","600","1080"
"-tNGtyL1Tx20Od4npKkdcg","Sunday","720","1020"
"RxYntP8Gsu9hH6gtGjQGVw","Saturday","600","1260"
"RxYntP8Gsu9hH6gtGjQGVw","Thursday","600","1260"
"RxYntP8Gsu9hH6gtGjQGVw","Monday","600","1260"
"RxYntP8Gsu9hH6gtGjQGVw","Tuesday","600","1260"
"RxYntP8Gsu9hH6gtGjQGVw","Wednesday","600","1260"
"RxYntP8Gsu9hH6gtGjQGVw","Friday","600","1260"
"RxYntP8Gsu9hH6gtGjQGVw","Sunday","600","960"
"CqhsIZ7TzCfJTrZqg5-gqQ","Saturday","660","120"
"CqhsIZ7TzCfJTrZqg5-gqQ","Thursday","660","120"
"CqhsIZ7TzCfJTrZqg5-gqQ","Monday","660","120"
"CqhsIZ7TzCfJTrZqg5-gqQ","Tuesday","660","120"
"CqhsIZ7TzCfJTrZqg5-gqQ","Wednesday","660","120"
"CqhsIZ7TzCfJTrZqg5-gqQ","Friday","660","120"
"CqhsIZ7TzCfJTrZqg5-gqQ","Sunday","660","120"
"_yGo2ubkwQPXcKrdcURSNw","Saturday","0","0"
"_yGo2ubkwQPXcKrdcURSNw","Thursday","0","0"
"_yGo2ubkwQPXcKrdcURSNw","Monday","0","0"
"_yGo2ubkwQPXcKrdcURSNw","Tuesday","0","0"
"_yGo2ubkwQPXcKrdcURSNw","Wednesday","0","0"
"_yGo2ubkwQPXcKrdcURSNw","Friday","0","0"
"_yGo2ubkwQPXcKrdcURSNw","Sunday","0","0"
"ChmqODwuYP1ewjmWXtxtsg","Saturday","660","1290"
"ChmqODwuYP1ewjmWXtxtsg","Thursday","660","1260"
"ChmqODwuYP1ewjmWXtxtsg","Monday","660","1260"
"ChmqODwuYP1ewjmWXtxtsg","Tuesday","660","1260"
"ChmqODwuYP1ewjmWXtxtsg","Wednesday","660","1260"
"ChmqODwuYP1ewjmWXtxtsg","Friday","660","1290"
"ChmqODwuYP1ewjmWXtxtsg","Sunday","660","1290"
"IW9yHeqnFCEbO5s1UCrqeA","Saturday","540","1110"
"IW9yHeqnFCEbO5s1UCrqeA","Thursday","540","1110"
"IW9yHeqnFCEbO5s1UCrqeA","Tuesday","540","1110"
"IW9yHeqnFCEbO5s1UCrqeA","Wednesday","540","1110"
"IW9yHeqnFCEbO5s1UCrqeA","Friday","540","1110"
"IW9yHeqnFCEbO5s1UCrqeA","Sunday","600","1080"
"2Bd3gy5lmINZ-2QxXVRLdA","Saturday","450","1200"
"2Bd3gy5lmINZ-2QxXVRLdA","Thursday","390","1140"
"2Bd3gy5lmINZ-2QxXVRLdA","Monday","390","1140"
"2Bd3gy5lmINZ-2QxXVRLdA","Tuesday","390","1140"
"2Bd3gy5lmINZ-2QxXVRLdA","Wednesday","390","1140"
"2Bd3gy5lmINZ-2QxXVRLdA","Friday","390","1200"
"2Bd3gy5lmINZ-2QxXVRLdA","Sunday","480","900"
"-KF9RQPkmIOHfE0tzUu9bg","Saturday","240","1320"
"-KF9RQPkmIOHfE0tzUu9bg","Thursday","240","1320"
"-KF9RQPkmIOHfE0tzUu9bg","Monday","240","1320"
"-KF9RQPkmIOHfE0tzUu9bg","Tuesday","240","1320"
"-KF9RQPkmIOHfE0tzUu9bg","Wednesday","240","1320"
"-KF9RQPkmIOHfE0tzUu9bg","Friday","240","1320"
"-KF9RQPkmIOHfE0tzUu9bg","Sunday","240","1320"
"6w_k3NCXF_p8UTWDxpOF5w","Saturday","660","1260"
"6w_k3NCXF_p8UTWDxpOF5w","Thursday","660","1260"
"6w_k3NCXF_p8UTWDxpOF5w","Monday","660","1260"
"6w_k3NCXF_p8UTWDxpOF5w","Tuesday","660","1260"
"6w_k3NCXF_p8UTWDxpOF5w","Wednesday","660","1260"
"6w_k3NCXF_p8UTWDxpOF5w","Friday","660","1260"
"6w_k3NCXF_p8UTWDxpOF5w","Sunday","660","1260"
"Atbyj1_dXFUDysgvGKMdbw","Saturday","540","1080"
"Atbyj1_dXFUDysgvGKMdbw","Thursday","540","1140"
"Atbyj1_dXFUDysgvGKMdbw","Monday","540","1140"
"Atbyj1_dXFUDysgvGKMdbw","Tuesday","540","1140"
"Atbyj1_dXFUDysgvGKMdbw","Wednesday","540","1140"
"Atbyj1_dXFUDysgvGKMdbw","Friday","540","1140"
"Atbyj1_dXFUDysgvGKMdbw","Sunday","660","1020"
"1zM7busmXUfYrbNiIHIcuw","Saturday","600","0"
"1zM7busmXUfYrbNiIHIcuw","Thursday","600","1320"
"1zM7busmXUfYrbNiIHIcuw","Monday","600","1320"
"1zM7busmXUfYrbNiIHIcuw","Tuesday","600","1320"
"1zM7busmXUfYrbNiIHIcuw","Wednesday","600","1320"
"1zM7busmXUfYrbNiIHIcuw","Friday","600","0"
"1zM7busmXUfYrbNiIHIcuw","Sunday","600","1320"
"MwIM3O0p8V_y2ttXz0_xGw","Thursday","420","960"
"MwIM3O0p8V_y2ttXz0_xGw","Monday","420","960"
"MwIM3O0p8V_y2ttXz0_xGw","Tuesday","420","960"
"MwIM3O0p8V_y2ttXz0_xGw","Wednesday","420","960"
"6QolvUp7cFFIWKRnJnh3GQ","Saturday","480","1200"
"6QolvUp7cFFIWKRnJnh3GQ","Thursday","360","1200"
"6QolvUp7cFFIWKRnJnh3GQ","Monday","360","1200"
"6QolvUp7cFFIWKRnJnh3GQ","Tuesday","360","1200"
"6QolvUp7cFFIWKRnJnh3GQ","Wednesday","360","1200"
"6QolvUp7cFFIWKRnJnh3GQ","Friday","420","1200"
"AZqwEahCRmVpyMm-OzueGQ","Saturday","540","1080"
"AZqwEahCRmVpyMm-OzueGQ","Thursday","540","1140"
"AZqwEahCRmVpyMm-OzueGQ","Monday","540","1140"
"AZqwEahCRmVpyMm-OzueGQ","Tuesday","540","1140"
"AZqwEahCRmVpyMm-OzueGQ","Wednesday","540","1140"
"AZqwEahCRmVpyMm-OzueGQ","Friday","540","1140"
"AZqwEahCRmVpyMm-OzueGQ","Sunday","600","1020"
"9ggd0DySEZNw990JGaFSQQ","Saturday","600","1260"
"9ggd0DySEZNw990JGaFSQQ","Thursday","600","1260"
"9ggd0DySEZNw990JGaFSQQ","Monday","600","1260"
"9ggd0DySEZNw990JGaFSQQ","Tuesday","600","1260"
"9ggd0DySEZNw990JGaFSQQ","Wednesday","600","1260"
"9ggd0DySEZNw990JGaFSQQ","Friday","600","1260"
"9ggd0DySEZNw990JGaFSQQ","Sunday","660","1080"
"lK408BRA42pDIwk89dxSVQ","Saturday","0","0"
"lK408BRA42pDIwk89dxSVQ","Thursday","0","0"
"lK408BRA42pDIwk89dxSVQ","Monday","0","0"
"lK408BRA42pDIwk89dxSVQ","Tuesday","0","0"
"lK408BRA42pDIwk89dxSVQ","Wednesday","0","0"
"lK408BRA42pDIwk89dxSVQ","Friday","0","0"
"lK408BRA42pDIwk89dxSVQ","Sunday","0","0"
"sSJeLgg3bQTR3vHkkJd9rQ","Saturday","600","1260"
"sSJeLgg3bQTR3vHkkJd9rQ","Thursday","600","1260"
"sSJeLgg3bQTR3vHkkJd9rQ","Monday","600","1260"
"sSJeLgg3bQTR3vHkkJd9rQ","Tuesday","600","1260"
"sSJeLgg3bQTR3vHkkJd9rQ","Wednesday","600","1260"
"sSJeLgg3bQTR3vHkkJd9rQ","Friday","600","1260"
"sSJeLgg3bQTR3vHkkJd9rQ","Sunday","660","1080"
"9nJi8n5l7ufJZ9PbhNJT8w","Saturday","360","1260"
"9nJi8n5l7ufJZ9PbhNJT8w","Thursday","360","1260"
"9nJi8n5l7ufJZ9PbhNJT8w","Monday","360","1260"
"9nJi8n5l7ufJZ9PbhNJT8w","Tuesday","360","1260"
"9nJi8n5l7ufJZ9PbhNJT8w","Wednesday","360","1260"
"9nJi8n5l7ufJZ9PbhNJT8w","Friday","360","1260"
"9nJi8n5l7ufJZ9PbhNJT8w","Sunday","480","1200"
"EeQlS9VLlfWT25-MeYsJTg","Saturday","600","1320"
"EeQlS9VLlfWT25-MeYsJTg","Thursday","600","1260"
"EeQlS9VLlfWT25-MeYsJTg","Monday","600","1260"
"EeQlS9VLlfWT25-MeYsJTg","Tuesday","600","1260"
"EeQlS9VLlfWT25-MeYsJTg","Wednesday","600","1260"
"EeQlS9VLlfWT25-MeYsJTg","Friday","600","1320"
"EeQlS9VLlfWT25-MeYsJTg","Sunday","660","1260"
"rwMuRGUUsXBYv8Wgiw1Qpw","Saturday","540","1020"
"rwMuRGUUsXBYv8Wgiw1Qpw","Thursday","540","1020"
"rwMuRGUUsXBYv8Wgiw1Qpw","Monday","540","1020"
"rwMuRGUUsXBYv8Wgiw1Qpw","Tuesday","540","1020"
"rwMuRGUUsXBYv8Wgiw1Qpw","Wednesday","540","1020"
"rwMuRGUUsXBYv8Wgiw1Qpw","Friday","540","1020"
"yC3ydbHAJTZ22FZp4LynFg","Saturday","510","0"
"yC3ydbHAJTZ22FZp4LynFg","Thursday","630","1200"
"yC3ydbHAJTZ22FZp4LynFg","Monday","630","1200"
"yC3ydbHAJTZ22FZp4LynFg","Tuesday","630","1200"
"yC3ydbHAJTZ22FZp4LynFg","Wednesday","630","1200"
"yC3ydbHAJTZ22FZp4LynFg","Friday","630","0"
"yC3ydbHAJTZ22FZp4LynFg","Sunday","510","1200"
"xEqfRXaHgX-SpiTyB66anQ","Saturday","480","960"
"xEqfRXaHgX-SpiTyB66anQ","Thursday","450","1050"
"xEqfRXaHgX-SpiTyB66anQ","Monday","450","1050"
"xEqfRXaHgX-SpiTyB66anQ","Tuesday","450","1050"
"xEqfRXaHgX-SpiTyB66anQ","Wednesday","450","1050"
"xEqfRXaHgX-SpiTyB66anQ","Friday","450","1050"
"vSFo-dxhQN9gWMaGdiNNFQ","Thursday","540","1050"
"vSFo-dxhQN9gWMaGdiNNFQ","Wednesday","540","1050"
"vSFo-dxhQN9gWMaGdiNNFQ","Friday","540","1050"
"fHssE8P0JYd4sEcMTR9WdQ","Thursday","540","1080"
"fHssE8P0JYd4sEcMTR9WdQ","Saturday","480","840"
"fHssE8P0JYd4sEcMTR9WdQ","Tuesday","540","1080"
"fHssE8P0JYd4sEcMTR9WdQ","Wednesday","540","1080"
"fHssE8P0JYd4sEcMTR9WdQ","Friday","480","1020"
"IWwt0vm8lYbVoyGSPd2Z9A","Saturday","420","1350"
"IWwt0vm8lYbVoyGSPd2Z9A","Thursday","420","1320"
"IWwt0vm8lYbVoyGSPd2Z9A","Monday","420","1320"
"IWwt0vm8lYbVoyGSPd2Z9A","Tuesday","420","1320"
"IWwt0vm8lYbVoyGSPd2Z9A","Wednesday","420","1320"
"IWwt0vm8lYbVoyGSPd2Z9A","Friday","420","1350"
"IWwt0vm8lYbVoyGSPd2Z9A","Sunday","420","1320"
"oxsCvEkQNNIbOPDt_QK_0A","Saturday","660","870"
"oxsCvEkQNNIbOPDt_QK_0A","Thursday","660","870"
"oxsCvEkQNNIbOPDt_QK_0A","Monday","660","870"
"oxsCvEkQNNIbOPDt_QK_0A","Tuesday","1020","1320"
"oxsCvEkQNNIbOPDt_QK_0A","Wednesday","660","870"
"oxsCvEkQNNIbOPDt_QK_0A","Friday","660","870"
"oxsCvEkQNNIbOPDt_QK_0A","Sunday","660","870"
"pSiR8m18iick2D7TFdmb-Q","Saturday","660","1290"
"pSiR8m18iick2D7TFdmb-Q","Thursday","660","1290"
"pSiR8m18iick2D7TFdmb-Q","Monday","660","1290"
"pSiR8m18iick2D7TFdmb-Q","Tuesday","660","1290"
"pSiR8m18iick2D7TFdmb-Q","Wednesday","660","1290"
"pSiR8m18iick2D7TFdmb-Q","Friday","660","1290"
"pSiR8m18iick2D7TFdmb-Q","Sunday","630","1260"
"-NrEcXQ0qioMwkRsgoq8Kw","Thursday","480","1020"
"-NrEcXQ0qioMwkRsgoq8Kw","Monday","480","1020"
"-NrEcXQ0qioMwkRsgoq8Kw","Tuesday","480","1020"
"-NrEcXQ0qioMwkRsgoq8Kw","Wednesday","480","1020"
"-NrEcXQ0qioMwkRsgoq8Kw","Friday","480","1020"
"iZpgRNPogioU5sEaDyl5uw","Saturday","660","1350"
"iZpgRNPogioU5sEaDyl5uw","Thursday","660","1290"
"iZpgRNPogioU5sEaDyl5uw","Monday","660","1290"
"iZpgRNPogioU5sEaDyl5uw","Tuesday","660","1290"
"iZpgRNPogioU5sEaDyl5uw","Wednesday","660","1290"
"iZpgRNPogioU5sEaDyl5uw","Friday","660","1350"
"iZpgRNPogioU5sEaDyl5uw","Sunday","660","1290"
"lLC7pJSpnF9CDfL9Gbg-Sg","Saturday","0","0"
"lLC7pJSpnF9CDfL9Gbg-Sg","Thursday","0","0"
"lLC7pJSpnF9CDfL9Gbg-Sg","Monday","0","0"
"lLC7pJSpnF9CDfL9Gbg-Sg","Tuesday","0","0"
"lLC7pJSpnF9CDfL9Gbg-Sg","Wednesday","0","0"
"lLC7pJSpnF9CDfL9Gbg-Sg","Friday","0","0"
"lLC7pJSpnF9CDfL9Gbg-Sg","Sunday","0","0"
"-_K8AE722c1u9Dsa8jo_vg","Saturday","540","900"
"-_K8AE722c1u9Dsa8jo_vg","Thursday","570","840"
"-_K8AE722c1u9Dsa8jo_vg","Monday","540","1020"
"-_K8AE722c1u9Dsa8jo_vg","Tuesday","570","840"
"-_K8AE722c1u9Dsa8jo_vg","Wednesday","570","840"
"-_K8AE722c1u9Dsa8jo_vg","Friday","570","840"
"-_K8AE722c1u9Dsa8jo_vg","Sunday","540","1020"
"Cr2JNnewX53TYd9w6qw6Jw","Saturday","630","1320"
"Cr2JNnewX53TYd9w6qw6Jw","Thursday","630","1260"
"Cr2JNnewX53TYd9w6qw6Jw","Monday","630","1260"
"Cr2JNnewX53TYd9w6qw6Jw","Tuesday","630","1260"
"Cr2JNnewX53TYd9w6qw6Jw","Wednesday","630","1260"
"Cr2JNnewX53TYd9w6qw6Jw","Friday","630","1320"
"Cr2JNnewX53TYd9w6qw6Jw","Sunday","660","1260"
"NQ9k6FFG5IkylMdM8cQnmQ","Thursday","540","1050"
"NQ9k6FFG5IkylMdM8cQnmQ","Monday","540","1050"
"NQ9k6FFG5IkylMdM8cQnmQ","Tuesday","540","1050"
"NQ9k6FFG5IkylMdM8cQnmQ","Wednesday","540","870"
"NQ9k6FFG5IkylMdM8cQnmQ","Friday","540","1050"
"DDnmNTvIIQu2t3WZ2EQx-w","Saturday","660","1320"
"DDnmNTvIIQu2t3WZ2EQx-w","Thursday","660","1320"
"DDnmNTvIIQu2t3WZ2EQx-w","Monday","660","1260"
"DDnmNTvIIQu2t3WZ2EQx-w","Tuesday","660","1320"
"DDnmNTvIIQu2t3WZ2EQx-w","Wednesday","660","1320"
"DDnmNTvIIQu2t3WZ2EQx-w","Friday","660","1320"
"DDnmNTvIIQu2t3WZ2EQx-w","Sunday","600","1260"
"FCcFT610nQBVcRdY-devQA","Saturday","660","0"
"FCcFT610nQBVcRdY-devQA","Thursday","660","1320"
"FCcFT610nQBVcRdY-devQA","Monday","660","1320"
"FCcFT610nQBVcRdY-devQA","Tuesday","660","1320"
"FCcFT610nQBVcRdY-devQA","Wednesday","660","1320"
"FCcFT610nQBVcRdY-devQA","Friday","660","0"
"FCcFT610nQBVcRdY-devQA","Sunday","600","1320"
"X_J65cnN3jJWGYacyNwKGg","Thursday","630","900"
"X_J65cnN3jJWGYacyNwKGg","Monday","630","900"
"X_J65cnN3jJWGYacyNwKGg","Tuesday","630","900"
"X_J65cnN3jJWGYacyNwKGg","Wednesday","630","900"
"X_J65cnN3jJWGYacyNwKGg","Friday","630","900"
"vfzUNcV9B3RhDyuZp0I1pQ","Saturday","660","1380"
"vfzUNcV9B3RhDyuZp0I1pQ","Thursday","660","1320"
"vfzUNcV9B3RhDyuZp0I1pQ","Monday","660","1320"
"vfzUNcV9B3RhDyuZp0I1pQ","Tuesday","660","1320"
"vfzUNcV9B3RhDyuZp0I1pQ","Wednesday","660","1320"
"vfzUNcV9B3RhDyuZp0I1pQ","Friday","660","1380"
"vfzUNcV9B3RhDyuZp0I1pQ","Sunday","660","1320"
"X4lwZ6Msx9GvpDBElqsv8A","Saturday","360","1260"
"X4lwZ6Msx9GvpDBElqsv8A","Thursday","360","1260"
"X4lwZ6Msx9GvpDBElqsv8A","Monday","360","1260"
"X4lwZ6Msx9GvpDBElqsv8A","Tuesday","360","1260"
"X4lwZ6Msx9GvpDBElqsv8A","Wednesday","360","1260"
"X4lwZ6Msx9GvpDBElqsv8A","Friday","360","1260"
"X4lwZ6Msx9GvpDBElqsv8A","Sunday","480","1200"
"r_0k2yqAo1Z4tg_IgXr7Jg","Saturday","540","1380"
"r_0k2yqAo1Z4tg_IgXr7Jg","Thursday","540","1320"
"r_0k2yqAo1Z4tg_IgXr7Jg","Monday","540","1320"
"r_0k2yqAo1Z4tg_IgXr7Jg","Tuesday","540","1320"
"r_0k2yqAo1Z4tg_IgXr7Jg","Wednesday","540","1320"
"r_0k2yqAo1Z4tg_IgXr7Jg","Friday","540","1380"
"r_0k2yqAo1Z4tg_IgXr7Jg","Sunday","540","1320"
"qjmCVYkwP-HDa35jwYucbQ","Saturday","600","1320"
"qjmCVYkwP-HDa35jwYucbQ","Thursday","660","1260"
"qjmCVYkwP-HDa35jwYucbQ","Monday","660","1260"
"qjmCVYkwP-HDa35jwYucbQ","Tuesday","660","1260"
"qjmCVYkwP-HDa35jwYucbQ","Wednesday","660","1260"
"qjmCVYkwP-HDa35jwYucbQ","Friday","660","1320"
"qjmCVYkwP-HDa35jwYucbQ","Sunday","600","1260"
"GcBgWPwxAlo2l4M7BrBMyA","Saturday","450","1020"
"GcBgWPwxAlo2l4M7BrBMyA","Thursday","420","1080"
"GcBgWPwxAlo2l4M7BrBMyA","Monday","420","1080"
"GcBgWPwxAlo2l4M7BrBMyA","Tuesday","420","1080"
"GcBgWPwxAlo2l4M7BrBMyA","Wednesday","420","1080"
"GcBgWPwxAlo2l4M7BrBMyA","Friday","420","1080"
"07UqHgBkJ4Kach2sVT2FdQ","Saturday","360","1020"
"07UqHgBkJ4Kach2sVT2FdQ","Thursday","420","1020"
"07UqHgBkJ4Kach2sVT2FdQ","Monday","420","1020"
"07UqHgBkJ4Kach2sVT2FdQ","Tuesday","420","1020"
"07UqHgBkJ4Kach2sVT2FdQ","Wednesday","420","1020"
"07UqHgBkJ4Kach2sVT2FdQ","Friday","420","960"
"07UqHgBkJ4Kach2sVT2FdQ","Sunday","360","1020"
"Jje3kP5CNasYDSpH0NPRGQ","Saturday","660","1320"
"Jje3kP5CNasYDSpH0NPRGQ","Thursday","660","1260"
"Jje3kP5CNasYDSpH0NPRGQ","Monday","660","1260"
"Jje3kP5CNasYDSpH0NPRGQ","Tuesday","660","1260"
"Jje3kP5CNasYDSpH0NPRGQ","Wednesday","660","1260"
"Jje3kP5CNasYDSpH0NPRGQ","Friday","660","1320"
"Jje3kP5CNasYDSpH0NPRGQ","Sunday","660","1260"
"k8B-ZZZezlXYLE7YC7FvQg","Saturday","600","960"
"k8B-ZZZezlXYLE7YC7FvQg","Thursday","480","1020"
"k8B-ZZZezlXYLE7YC7FvQg","Monday","480","1020"
"k8B-ZZZezlXYLE7YC7FvQg","Tuesday","480","1020"
"k8B-ZZZezlXYLE7YC7FvQg","Wednesday","480","1020"
